Track Name,Artist
Bye Bye Yesterday,3-nen E-gumi
Guren no Yumiya,Linked Horizon
Shinzou wo Sasageyo,Linked Horizon
Kaibutsu,YOASOBI
Black Catcher,Vickeblanka
Black Rover,Vickeblanka
Guess Who Is Back,Kumi Koda
Asterisk,ORANGE RANGE
Fukashigi no Carte,Rascal Does Not Dream Cast
Daten,Creepy Nuts
Mirage,Creepy Nuts
Otonoke,Creepy Nuts
KICK BACK,Kenshi Yonezu
IRIS OUT,Kenshi Yonezu
Flyers,BRADIO
Gurenge,LiSA
Kizuna no Kiseki,MAN WITH A MISSION & milet
Mugen,MY FIRST STORY & HYDE
Zankyou Sanka,Aimer
Kawaki wo Ameku,Minami
Rakuen,Fujifabric
Uragiri no Yuuyake,Theatre Brook
Inferno,Mrs. GREEN APPLE
Veil,Keina Suda
Uchiage Hanabi,DAOKO & Kenshi Yonezu
Yuusha,YOASOBI
Again,YUI
I Wanna Be...,SPYAIR
FLY HIGH!!,BURNOUT SYNDROMES
Imagination,SPYAIR
Omoide Shiritori,DIALOGUE+
Iro Kousui,Yoh Kamiyama
Departure!,Masatoshi Ono
AIZO,King Gnu
Kaikai Kitan,Eve
SPECIALZ,King Gnu
Daddy! Daddy! Do!,Masayuki Suzuki
Cinderella,Cidergirl
Bling-Bang-Bang-Born,Creepy Nuts
Renai Circulation,Kana Hanazawa
Odd Future,UVERworld
Peace Sign,Kenshi Yonezu
The Day,Porno Graffitti
GO!!!,FLOW
Blue Bird,Ikimonogakari
Sign,FLOW
Silhouette,KANA-BOON
A Cruel Angel's Thesis,Yoko Takahashi
This Game,Konomi Suzuki
Baby You,Yuka
Racing Into The Night,YOASOBI
Sakura Burst,Naeleck
Shinunoga E-Wa,Fujii Kaze
Tabun,YOASOBI
I Want You to Tell Me the Moon is Beautiful!,kakizaki yuta
Kyouran Hey Kids!!,THE ORAL CIGARETTES
THE HERO!!,JAM Project
Yukitoki,Nagi Yanagi
Idol,YOASOBI
Kimi no Sei,the peggies
Centimeter,the peggies
STYX HELIX,MYTH & ROID
Netsujou no Spectrum,Ikimonogakari
Paradise,Rude-α
Comedy,Gen Hoshino
Mixed Nuts,Official HIGE DANdism
Suzume,RADWIMPS ft. Toaka
Crossing Field,LiSA
Be a Flower,Ryokuoushoku Shakai
Lilas,Lilas Ikuta
Shayou,Yorushika
Kawaranai Mono,Hanako Oku
Contradiction,KSUKE ft. Tyler Carter
Touch Off,UVERworld
Unravel,TK from Ling tosite sigure
Cry Baby,Official HIGE DANdism
Koi no Uta,Yunomi
Hikaru Nara,Goose house
Dream Lantern,RADWIMPS
Nandemonaiya,RADWIMPS
Sparkle,RADWIMPS
Zenzenzense,RADWIMPS
